#datetime;z_new_flow_RS
20190727T194959;1.6896
20190727T195059;1.6901
20190727T195159;1.6904
20190727T195259;1.6904
20190727T195359;1.6903
20190727T195459;1.6901
20190727T195559;1.6897
20190727T195659;1.6895
20190727T195759;1.6891
20190727T195859;1.6886
20190727T195959;1.6879
20190727T200059;1.6872
20190727T200159;1.6863
20190727T200259;1.6852
20190727T200359;1.6839
20190727T200459;1.6825
20190727T200559;1.6811
20190727T200659;1.6796
20190727T200759;1.6781
20190727T200859;1.6766
20190727T200959;1.6751
20190727T201059;1.6736
20190727T201159;1.6721
20190727T201259;1.6706
20190727T201359;1.6691
20190727T201459;1.6675
20190727T201559;1.666
20190727T201659;1.6644
20190727T201759;1.6629
